Total_Energy_Cost_INR,Total_Energy_kWh,Peak_Hour_Load_kW,Makespan_min,Makespan_hours,Machine_Utilization_pct,Average_Waiting_Time_min,Total_Idle_Time_min,Total_Delay_min,Late_Jobs,On_Time_Completion_pct,Total_Carbon_Emissions_tCO2,Total_Power_Factor_Penalty_INR,Algorithm,Seed,N_Jobs,N_Machines,Runtime_s,Solver_Status,Optimality_Proven,Objective_Value,Best_Bound,Warm_Start
208592.58,20506.0175,784.48,2865.0,47.75,54.19,67.69,10500.0,0.0,0,100.0,817.630658,35348.3,FCFS,50,195,8,0.005,GREEDY,False,,,
183704.88,20212.0125,784.48,2955.0,49.25,52.54,99.08,11220.0,135.0,1,99.49,879.445019,31200.39,SPT,50,195,8,0.005,GREEDY,False,,,
209921.61,20589.6775,784.48,2865.0,47.75,54.19,89.38,10500.0,0.0,0,100.0,831.423758,35617.17,LPT,50,195,8,0.005,GREEDY,False,,,
194743.52,20053.46,784.48,2880.0,48.0,53.91,91.85,10620.0,0.0,0,100.0,849.865869,33035.72,EDD,50,195,8,0.005,GREEDY,False,,,
210100.35,20927.785,784.48,2880.0,48.0,53.91,72.31,10620.0,0.0,0,100.0,837.69652,35652.25,Energy_Unaware_Greedy,50,195,8,0.005,GREEDY,False,,,
212412.42,20826.6375,784.48,2865.0,47.75,54.19,66.15,10500.0,0.0,0,100.0,835.275384,36044.17,Makespan_Greedy,50,195,8,0.005,GREEDY,False,,,
189869.74,18862.7825,784.48,2910.0,48.5,53.35,104.92,10860.0,0.0,0,100.0,757.501709,32405.53,FD_PDTS_Deterministic,50,195,8,0.032,GREEDY,False,,,
189834.61,18853.385,784.48,2910.0,48.5,53.35,105.46,10860.0,0.0,0,100.0,757.062584,32399.2,FD_PDTS_Robust,50,195,8,0.033,GREEDY,False,,,
144723.26,14836.1225,499.48,2910.0,48.5,53.35,115.69,10860.0,0.0,0,100.0,628.934845,24666.28,CP_SAT_Warm,50,195,8,120.02,FEASIBLE,False,268927560.0,164618520.0,True
102232.48,15224.585,161.48,3420.0,57.0,45.39,461.69,14940.0,1110.0,19,90.26,797.449452,17905.63,CP_SAT_Cold,50,195,8,120.05,FEASIBLE,False,169636540.0,10850.0,False
182815.09,17840.655,784.48,2850.0,47.5,48.22,63.69,11805.0,0.0,0,100.0,736.068826,30947.43,FCFS,51,175,8,0.004,GREEDY,False,,,
173426.83,18559.4975,784.48,2925.0,48.75,46.99,83.57,12405.0,210.0,1,99.43,808.056362,29505.03,SPT,51,175,8,0.004,GREEDY,False,,,
